ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight(kg),Length(cm),Width(cm),Height(cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
141515832,simple,8312726913596,"Túi Đựng Hộp Cơm Giữ Nhiệt Grepaco Nóng Lạnh Nhiều Ngăn Đựng Đồ Thức Ăn Văn Phòng, Du Lịch – Vải Bố Canvas, Kích Thước Size To (Cỡ Lớn), Kiểu Giỏ Xách Và Quai Đeo Vai Thời Trang Nam Nữ - Tặng Túi Đựng Muỗng Nĩa - Hàng Chính Hãng",1,0,visible,,"Túi Đựng Hộp Cơm Giữ Nhiệt Grepaco Nóng Lạnh Nhiều Ngăn Đựng Đồ Thức Ăn Văn Phòng, Du Lịch – Vải Bố Canvas, Kích Thước Size To (Cỡ Lớn), Kiểu Giỏ Xách Và Quai Đeo Vai Thời Trang Nam Nữ - Tặng Túi Đựng...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,159000,159000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/53/6d/0b/f3d5ae734935ea0be2499cde73c8aea3.jpg,,,,,,,,,0
53825106,simple,9566571971237,Hộp Muối Dưa Cà - Ngâm Hoa Quả Lock&Lock - Hàng Chính Hãng,1,0,visible,,"Hộp Muối Dưa Cà - Ngâm Hoa Quả Lock&Lock INL413 dung tích 2.1 Lít: Sản phẩm tiện lợi cho các gia đình muối dưa cà, ngâm hoa quả Hộp được thiết kế sang trọng, có thể để vừa cánh tủ lạnh. N...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,88000,149000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/c5/11/0a/f5fbd24a836be36ae41f65bbf40924cb.jpg,,,,,,,,,0
106563606,simple,5395560756302,"Bóng đèn Philips LED Bright E27 bảo vệ mắt, ánh sáng vàng, ánh sáng trắng (01 bóng)",1,0,visible,,"Bóng đèn Philips LEDBright E27 230V 1CT/12 APR, mang trong mình thiết kế hiện đại, mạnh mẽ và sang trọng đến từ thương hiệu Philips sẽ khiến bạn hài lòng trong quá trình sử dụng, chất lượng sáng cao, ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,62700,89500,,,,https://salt.tikicdn.com/cache/750x750/ts/product/55/3c/51/dd5ce558defdb500353ff2b054cf2932.png,,,,,,,,,0
107336915,simple,3522240874669,Bộ chăn chần ga giường cotton Tici kẻ LIDACO cao cấp (Nhiều mẫu lựa chọn),1,0,visible,,"Ra mắt sản phẩm hè  TC KẺ CHĂN CHẦN BÔNG HÈ THU cao cấp Đắp trực tiếp như chăn hè, dễ dàng sử dụng quanh năm Chất liệu đanh, sắc nét, bền màu phù hợp với nhiều không gian phòng ngủ  ** Set g...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,479000,690000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/f7/0b/91/5cc71584ec70168089c3640f001dbb39.jpg,,,,,,,,,0
278622328,simple,9295938393975,"Thanh treo rèm cửa đa năng, không cần khoan tường hay bắt vít, thay đổi vị trí linh hoạt",1,0,visible,,"Thanh treo rèm cửa đa năng, không cần khoan tường hay bắt vít, thay đổi vị trí linh hoạt  - Thanh treo rèm cửa inox không cần khoan tường có thiết kế vô cùng thông minh và độc đáo;- Có thể làm tha...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,72000,85000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/73/66/53/048bcc6985795a577d82449f29c2e1d0.jpg,,,,,,,,,0
77196220,simple,4635846475723,Lốc 12 Viên Pin AA ENERGIZER Siêu Bền Kèm Hộp Bảo Quản - Hàng Chính Hãng,1,0,visible,,Pin AA : là pin kích thước lớnPin AAA : là Pin kích thước nhỏ...,,2025-12-03,taxable,,1,,,no,no,,,,,1,,145000,155000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/36/de/3e/d8595d78508e702bdf9d745637fd5eb0.jpg,,,,,,,,,0
68729518,simple,3343671953297,Combo nhiều túi lưới giặt đồ cho máy giặt bảo vệ quần áo chống biến dạng chất lượng tốt dây kéo lưới mịn Polyester,1,0,visible,,"Túi lưới giặt đồ cho máy giặt bảo vệ quần áo chống biến dạng chất lượng tốt dây kéo lưới mịn Polyester nhằm bảo vệ quần áo được làm từ tơ lụa, ren, len, thổ cẩm, lông thú, gấm, cotton, … tránh bị móc ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,50300,54000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/5b/01/ce/22baf0809ad290bf78dec9867082ac44.JPG,,,,,,,,,0
84296957,simple,2414030013331,decal dán tường màu đen nhám có sẵn keo,1,0,visible,,"Mẫu giấy dán tường này có sẵn keo rồi, khách chỉ cần lột ra dán thôi.Chất liệu bền đẹp, không bám bụi, có thể lau chùi bằng xà bông thoải mái, dán được cho tường, kính, gỗ, những bề mặt phẳng.Mẫu giấy...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,55000,55000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/a7/77/16/7b0c9bd906ad3ba62c8b560092bb2806.jpg,,,,,,,,,0
19853980,simple,7591355935206,"Võng lưới số 9.2, căng kim dày BAN MAI, khổ rộng, cán thép 50 (Giao màu ngẫu nhiên)",1,0,visible,,"Thông tin sản phẩmChất liệuSợi 100% polyesterMô tả chi tiếtLỗ nhỏ, sợi lưới dày, chắc chắn, đã căng kim, ít giãnCác chi tiết phụ- May lõi thép bên trong- 3 khoen móc võng để đi...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,300000,300000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/aa/5c/ff/f7c7f03db3069fd0d3ed80c8215625ac.jpg,,,,,,,,,0
188730667,simple,4522390029436,Cân Điện Tử Nhà Bếp 5kg - Cân Chia Thực Phẩm Nhà Bếp - Cân Tiểu Ly 5kg,1,0,visible,,"Cân Điện Tử Nhà Bếp 5kg Hình 1:  Ảnh tổng quan sản phẩm Cân điện tử nhà bếp 5kg Cân điện tử 5kg có kích thước 16cm x 12.5cm làm từ chất liệu nhựa ABS cao cấp, màu trắng sang trọng, sạch sẽ. Cân có...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,59000,59000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/5a/0c/b7/03d00901c680f6e0b26da824b0e9730f.jpg,,,,,,,,,0
